family,k_models,N_total,chi2,dof,p,cramer_v
openai,5,450,199.35552874067574,4,5.169285615393506e-42,0.6655916812058205
grok,5,450,51.89933806428529,4,1.4479560108667203e-10,0.3396054510237997
gemini,4,360,39.855028692237994,3,1.1436302382871652e-08,0.3327287379142271
anthropic,4,360,3.0083565459610027,3,0.390338554873866,0.09141414530040078
deepseek,2,180,8.372093023255815,1,0.0038102654009454034,0.21566554640687685
