family,k_models,N_total,chi2,dof,p,cramer_v
openai,5,450,132.54453701822118,8,8.39396399285397e-25,0.3837599611710731
grok,5,450,229.77284955201313,8,3.307529147769403e-45,0.5052753369885606
gemini,4,360,71.77662268425964,6,1.765919956948594e-13,0.3157368425257629
anthropic,4,360,78.86915128294439,6,6.116778242152541e-15,0.33096901349367785
deepseek,2,180,83.77759103641458,2,6.425800719887527e-19,0.6822250811230955
